,lineitem,relevance
12202,2019           2018,2.0
12203,Â£              Â£,1.0
12204,Current assets,2.0
12205,Cash at bank and in hand                                                                           4              4,2.0
12206,Net assets                                                                                                  4              4,2.0
12207,Issued share capital,2.0
12208,4 ordinary Shares 1 of Â£ each                                                                               4              4,2.0
12209,Total Shareholder funds                                                                                     4              4,2.0
12210,STATEMENTS,1.0
12211,a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1.0
12212,Companies Act 2006 relating to dormant companies,1.0
12213,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
12214,the Companies Act 2006.,1.0
12215,C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
12216,with respect to accounting                records and the preparation of accounts.,1.0
12217,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
12218,subject to the small companies regime.,1.0
12219,Approved by the Board on 12 January 2020,1.0
12220,And signed on their behalf by:,1.0
12221,"Jeremy Marsden, Director",1.0
12222,This document was delivered using electronic communications and authenticated in accordance with the,1.0
12223,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
12224,the Companies Act 2006.,1.0
12225,Balance Sheet as at 31 December 2019,1.0
12226,2019                            2018,2.0
12227,Â£                                Â£,1.0
12228,Net assets                                                                               0                               0,2.0
12229,Reserves                                                                                  0                               0,2.0
12230,STATEMENTS,1.0
12231,a.  For the year ending 31 December 2019 the company was entities to exemption under section 480 of,1.0
12232,the Companies Act 2006 relating to dormant companies,1.0
12233,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
12234,the Companies Act 2006.,1.0
12235,C.  The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
12236,with respect to accounting                records and the preparation of accounts.,1.0
12237,d.  These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
12238,subject to the small companies regime.,1.0
12239,Approved by the Board on 29 January 2020,1.0
12240,And signed on their behalf by:,1.0
12241,"A Kettleborough, Director",1.0
12242,NOTES,2.0
12243,Company is limited by guarantee.,1.0
12244,This document was delivered using electronic communications and authenticated in accordance with the,1.0
12245,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
12246,the Companies Act 2006.,1.0
12247,Balance Sheet as at 31 May 2019,1.0
12248,2019,1.0
12249,Â£,1.0
12250,Current assets,2.0
12251,Cash at bank and in hand                                                                                          1,2.0
12252,Net assets                                                                                                                 1,2.0
12253,Issued share capital,2.0
12254,"1000 Ordinary Shares of Â£ 0,001 each                                                                              1",2.0
12255,Total Shareholder funds                                                                                                    1,2.0
12256,STATEMENTS,1.0
12257,a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1.0
12258,Companies Act 2006 relating to dormant companies,1.0
12259,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
12260,the Companies Act 2006.,1.0
12261,C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
12262,with respect to accounting                records and the preparation of accounts.,1.0
12263,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
12264,subject to the small companies regime.,1.0
12265,Approved by the Board 3               on      February 2020,1.0
12266,And signed on their behalf by:,1.0
12267,"Omatsone Aluko, Director",1.0
12268,This document was delivered using electronic communications and authenticated in accordance with the,1.0
12269,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
12270,the Companies Act 2006.,1.0
12271,Balance Sheet as at 31 December 2019,1.0
12272,2019          2018,2.0
12273,Â£             Â£,1.0
12274,Called up share capital not paid                                                                                   100           100,2.0
12275,Net assets                                                                                                         100           100,2.0
12276,Tssued share capital,2.0
12277,100 Ordinary Shares of Â£ | each                                                                          100           100,2.0
12278,Total Shareholder funds                                                                                            100           100,2.0
12279,STATEMENTS,1.0
12280,a.   For the year ending 31 December 2019 the company was entities to exemption under section 480 of,1.0
12281,the Companies Act 2006 relating to dormant companies,1.0
12282,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
12283,the Companies Act 2006.,1.0
12284,Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
12285,with respect to accounting                records and the preparation of accounts.,1.0
12286,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
12287,subject to the small companies regime.,1.0
12288,Approved by the Board 4               on      February 2020,1.0
12289,And signed on their behalf by:,1.0
12290,"Patrick Farrar Bolton, Director",1.0
12291,This document was delivered using electronic communications and authenticated in accordance with the,1.0
12292,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
12293,the Companies Act 2006.,1.0
12294,Balance Sheet,1.0
12295,as at 31 May 2019,1.0
12296,2019,1.0
12297,Â£,1.0
12298,"Fixed assets                                                                                               2,378",2.0
12299,"Current assets                                                                     28,355",2.0
12300,Creditors: amounts falling due within,2.0
12301,"one year                                                                        (20,194)",1.0
12302,"Net current assets                                                                                         8,161",2.0
12303,"Total assets less current liabilities                                                                     10,539",2.0
12304,"Accruals and deferred income                                                                              (2,740)",2.0
12305,"Net assets                                                                                                 7,799",2.0
12306,"Capital and reserves                                                                                       7,799",2.0
12307,The company is a private company limited by shares and incorporated in England. Its registered,1.0
12308,"office is Abacus Court, Bull Street, Harborne, Birmingham B17 OHH.",1.0
12309,The director is satisfied that the company is entities to exemption from the requirement to obtain an,1.0
12310,audit under section 477 of the Companies Act 2006.,1.0
12311,The member has not required the company to obtain an audit in accordance with section 476 of the,1.0
12312,Act.,1.0
12313,The director acknowledges her responsibilities for complying with the requirements of the Companies,1.0
12314,Act 2006 with respect to accounting                        records and the preparation of accounts.,1.0
12315,The accounts            have been prepared in accordance with the micro entity provisions of the Companies,1.0
12316,"Act 2006 and FRS 105, The Financial Reporting Standard applicable to the Micro-entity Regime.",1.0
12317,The accounts             have been delivered in accordance with the provisions applicable to companies,1.0
12318,subject to the small companies regime. The profit and loss account                                               has not been delivered to the,1.0
12319,Registrar of Companies,1.0
12323,Neena Mair,1.0
12324,Director,1.0
12325,Approved by the board 4               on      February 2020,1.0
12326,This document was delivered using electronic communications and authenticated in accordance with the,1.0
12327,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
12328,the Companies Act 2006.,1.0
12329,Micro-entity Balance Sheet as at 30 April 2019,1.0
12330,Notes         2019           2018,2.0
12331,Â£              Â£,1.0
12332,Fixed Assets                                                                                                290            290,2.0
12333,"Current Assets                                                                                           2,090          2,218",2.0
12334,"Creditors: amounts falling due within one year                                                            (568)       (4,928)",2.0
12335,"Net current assets (liabilities)                                                                          1,522       (2,710)",2.0
12336,"Total assets less current liabilities                                                                     1,812       (2,420)",2.0
12337,Accruals and deferred income                                                                              (780)          (780),2.0
12338,"Total net assets (liabilities)                                                                           1,032        (3,200)",2.0
12339,"Reserves                                                                                                   1,032       (3,200)",2.0
12340,For the year ending 30 April 2019 the company was entities to exemption under section 477 of the,1.0
12341,Companies Act 2006 relating to small companies,1.0
12342,Â®     The members have not required the company to obtain an audit in accordance with section 476 of,1.0
12343,the Companies Act 2006.,1.0
12344,Â®     The director acknowledge their responsibilities for complying with the requirements of the,1.0
12345,Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,1.0
12346,Â®     The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,1.0
12347,accordance with the provisions applicable to companies subject to the small companies regime.,1.0
12348,Approved by the Board on 29 January 2020,1.0
12349,And signed on their behalf by:,1.0
12350,"DAVIDE WHELLER, Director",1.0
12351,This document was delivered using electronic communications and authenticated in accordance with the,1.0
12352,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
12353,the Companies Act 2006.,1.0
12354,Micro-entity Balance Sheet as at 31 May 2019,1.0
12355,Notes         2019           2018,2.0
12356,Â£              Â£,1.0
12357,"Fixed Assets                                                                                           38,260         47,825",2.0
12358,"Current Assets                                                                                           6,200          4915",2.0
12359,"Net current assets (liabilities)                                                                         6,200          4915",2.0
12360,"Total assets less current liabilities                                                                  44,460         52,740",2.0
12361,Creditors: amounts falling due after more than one,2.0
12362,(57.560)       (67.750),1.0
12363,year,1.0
12364,"Total net assets (liabilities)                                                                        (13,100)       (15,010)",2.0
12365,"Capital and reserves                                                                                  (13,100)       (15,010)",2.0
12366,For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,1.0
12367,Companies Act 2006 relating to small companies,1.0
12368,Â®     The members have not required the company to obtain an audit in accordance with section 476 of,1.0
12369,the Companies Act 2006.,1.0
12370,Â®     The director acknowledge their responsibilities for complying with the requirements of the,1.0
12371,Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,1.0
12372,The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,1.0
12373,accordance with the provisions applicable to companies subject to the small companies regime.,1.0
12374,Approved by the Board 4               on     February 2020,1.0
12375,And signed on their behalf by:,1.0
12376,"Marc Hillman, Director",1.0
12377,This document was delivered using electronic communications and authenticated in accordance with the,1.0
12378,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
12379,the Companies Act 2006.,1.0
12380,Balance Sheet as at 31 May 2019,1.0
12381,2019           2018,2.0
12382,Â£              Â£,1.0
12383,Called up share capital not paid                                                                            1              1,2.0
12384,Net assets                                                                                                  1              1,2.0
12385,Tssued share capital,2.0
12386,1 Ordinary Share 1 of Â£ each                                                                                1              1,2.0
12387,Total Shareholder funds                                                                                     1              1,2.0
12388,STATEMENTS,1.0
12389,a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1.0
12390,Companies Act 2006 relating to dormant companies,1.0
12391,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
12392,the Companies Act 2006.,1.0
12393,Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
12394,with respect to accounting                records and the preparation of accounts.,1.0
12395,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
12396,subject to the small companies regime.,1.0
12397,Approved by the Board 4               on      February 2020,1.0
12398,And signed on their behalf by:,1.0
12399,"Patrick McCloy, Director",1.0
12400,This document was delivered using electronic communications and authenticated in accordance with the,1.0
12401,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
12402,the Companies Act 2006.,1.0
12403,Balance Sheet as at 31 May 2019,1.0
12404,2019           2018,2.0
12405,Â£              Â£,1.0
12406,Called up share capital not paid                                                                            1              1,2.0
12407,Net assets                                                                                                  1              1,2.0
12408,Tssued share capital,2.0
12409,1 Ordinary Share 1 of Â£ each                                                                                1              1,2.0
12410,Total Shareholder funds                                                                                     1              1,2.0
12411,STATEMENTS,1.0
12412,a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1.0
12413,Companies Act 2006 relating to dormant companies,1.0
12414,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
12415,the Companies Act 2006.,1.0
12416,Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
12417,with respect to accounting                records and the preparation of accounts.,1.0
12418,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
12419,subject to the small companies regime.,1.0
12420,Approved by the Board 4               on      February 2020,1.0
12421,And signed on their behalf by:,1.0
12422,"Patrick McCloy, Director",1.0
12423,This document was delivered using electronic communications and authenticated in accordance with the,1.0
12424,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
12425,the Companies Act 2006.,1.0
12426,Balance Sheet as at 30 November 2019,1.0
12427,2019           2018,2.0
12428,Â£              Â£,1.0
12429,Current assets,2.0
12430,Cash at bank and in hand                                                                            1              1,2.0
12431,Net assets                                                                                                   1              1,2.0
12432,Issued share capital,2.0
12433,1 Ordinary Share 1 of Â£ each                                                                                 1              1,2.0
12434,Total Shareholder funds                                                                                      1              1,2.0
12435,STATEMENTS,1.0
12436,a.   For the year ending 30 November 2019 the company was entities to exemption under section 480,1.0
12437,of the Companies Act 2006 relating to dormant companies,1.0
12438,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
12439,the Companies Act 2006.,1.0
12440,C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
12441,with respect to accounting                 records and the preparation of accounts.,1.0
12442,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
12443,subject to the small companies regime.,1.0
12444,Approved by the Board 4               on      February 2020,1.0
12445,And signed on their behalf by:,1.0
12446,"Dermot Devlin, Director",1.0
12447,This document was delivered using electronic communications and authenticated in accordance with the,1.0
12448,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
12449,the Companies Act 2006.,1.0
12450,Balance Sheet as at 31 May 2019,1.0
12451,2019           2018,2.0
12452,Â£              Â£,1.0
12453,Called up share capital not paid                                                                            1              1,2.0
12454,Net assets                                                                                                  1              1,2.0
12455,Tssued share capital,2.0
12456,1 Ordinary Share 1 of Â£ each                                                                                1              1,2.0
12457,Total Shareholder funds                                                                                     1              1,2.0
12458,STATEMENTS,1.0
12459,a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1.0
12460,Companies Act 2006 relating to dormant companies,1.0
12461,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
12462,the Companies Act 2006.,1.0
12463,Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
12464,with respect to accounting                records and the preparation of accounts.,1.0
12465,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
12466,subject to the small companies regime.,1.0
12467,Approved by the Board 4               on      February 2020,1.0
12468,And signed on their behalf by:,1.0
12469,"Patrick McCloy, Director",1.0
12470,This document was delivered using electronic communications and authenticated in accordance with the,1.0
12471,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
12472,the Companies Act 2006.,1.0
12473,Balance Sheet as at 31 December 2019,1.0
12474,2019,1.0
12475,Â£,1.0
12476,Called up share capital not paid                                                                                                  16,2.0
12477,Net assets                                                                                                                         16,2.0
12478,Tssued share capital,2.0
12479,16 Ordinary Shares of Â£ | each                                                                                           16,2.0
12480,Total Shareholder funds                                                                                                           16,2.0
12481,STATEMENTS,1.0
12482,a.   For the year ending 31 December 2019 the company was entities to exemption under section 480 of,1.0
12483,the Companies Act 2006 relating to dormant companies,1.0
12484,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
12485,the Companies Act 2006.,1.0
12486,Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
12487,with respect to accounting                records and the preparation of accounts.,1.0
12488,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
12489,subject to the small companies regime.,1.0
12490,Approved by the Board on | February 2020,1.0
12491,And signed on their behalf by:,1.0
12492,"Kunal Rawal, Director",1.0
12493,This document was delivered using electronic communications and authenticated in accordance with the,1.0
12494,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
12495,the Companies Act 2006.,1.0
12496,Balance Sheet as at 31 May 2019,1.0
12497,2019           2018,2.0
12498,Â£              Â£,1.0
12499,Called up share capital not paid                                                                            1              1,2.0
12500,Net assets                                                                                                  1              1,2.0
12501,Tssued share capital,2.0
12502,1 Ordinary Share 1 of Â£ each                                                                                1              1,2.0
12503,Total Shareholder funds                                                                                     1              1,2.0
12504,STATEMENTS,1.0
12505,a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1.0
12506,Companies Act 2006 relating to dormant companies,1.0
12507,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
12508,the Companies Act 2006.,1.0
12509,Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
12510,with respect to accounting                records and the preparation of accounts.,1.0
12511,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
12512,subject to the small companies regime.,1.0
12513,Approved by the Board 4               on      February 2020,1.0
12514,And signed on their behalf by:,1.0
12515,"Nathan Raeside, Director",1.0
12516,This document was delivered using electronic communications and authenticated in accordance with the,1.0
12517,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
12518,the Companies Act 2006.,1.0
12519,Micro-entity Balance Sheet as at 31 May 2019,1.0
12520,Notes              2019,2.0
12521,Â£,1.0
12522,"Current Assets                                                                                                           4,387",2.0
12523,Creditors: amounts falling due within one year                                                                            (350),2.0
12524,"Net current assets (liabilities)                                                                                         4,037",2.0
12525,"Total assets less current liabilities                                                                                    4,037",2.0
12526,"Creditors: amounts falling due after more than one year                                                              (35,600)",2.0
12527,"Total net assets (liabilities)                                                                                       (31,563)",2.0
12528,"Capital and reserves                                                                                                 (31,563)",2.0
12529,For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,1.0
12530,Companies Act 2006 relating to small companies,1.0
12531,The members have not required the company to obtain an audit in accordance with section 476 of,1.0
12532,the Companies Act 2006.,1.0
12533,Â®     The director acknowledge their responsibilities for complying with the requirements of the,1.0
12534,Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,1.0
12535,Â®     The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,1.0
12536,accordance with the provisions applicable to companies subject to the small companies regime.,1.0
12537,Approved by the Board on 23 January 2020,1.0
12538,And signed on their behalf by:,1.0
12539,"Jin Soo Kim, Director",1.0
12540,This document was delivered using electronic communications and authenticated in accordance with the,1.0
12541,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
12542,the Companies Act 2006.,1.0
12543,Balance Sheet as at 31 July 2019,1.0
12544,2019                            2018,2.0
12545,Â£                               Â£,1.0
12546,Net assets                                                                               0                               0,2.0
12547,Reserves                                                                                  0                               0,2.0
12548,STATEMENTS,1.0
12549,a.  Forthe year ending 31 July 2019 the company was entities to exemption under section 480 of the,1.0
12550,Companies Act 2006 relating to dormant companies,1.0
12551,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
12552,the Companies Act 2006.,1.0
12553,C.  The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
12554,with respect to accounting                records and the preparation of accounts.,1.0
12555,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
12556,subject to the small companies regime.,1.0
12557,Approved by the Board 4              on      February 2020,1.0
12558,And signed on their behalf by:,1.0
12559,"David Bilcliffe, Director",1.0
12560,NOTES,2.0
12561,Company is limited by guarantee.,1.0
12562,This document was delivered using electronic communications and authenticated in accordance with the,1.0
12563,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
12564,the Companies Act 2006.,1.0
12565,Balance Sheet as at 31 May 2019,1.0
12566,2019           2018,2.0
12567,Â£              Â£,1.0
12568,Called up share capital not paid                                                                            2             2,2.0
12569,Net assets                                                                                                  2             2,2.0
12570,Tssued share capital,2.0
12571,2 Ordinary Shares 1 of Â£ each                                                                               2             2,2.0
12572,Total Shareholder funds                                                                                     2              2,2.0
12573,STATEMENTS,1.0
12574,a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1.0
12575,Companies Act 2006 relating to dormant companies,1.0
12576,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
12577,the Companies Act 2006.,1.0
12578,Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
12579,with respect to accounting                records and the preparation of accounts.,1.0
12580,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
12581,subject to the small companies regime.,1.0
12582,Approved by the Board 3               on      February 2020,1.0
12583,And signed on their behalf by:,1.0
12584,"Michael Heaney, Director",1.0
12585,This document was delivered using electronic communications and authenticated in accordance with the,1.0
12586,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
12587,the Companies Act 2006.,1.0
12588,Micro-entity Balance Sheet as at 31 May 2019,1.0
12589,Notes        2019           2018,2.0
12590,Â£              Â£,1.0
12591,"Fixed Assets                                                                                            -                 1,446",2.0
12592,"Current Assets                                                                                               100         8,225",2.0
12593,"Creditors: amounts falling due within one year                                                         0                (8,142)",2.0
12594,Net current assets (liabilities)                                                                             100              83,2.0
12595,"Total assets less current liabilities                                                                        100          1,529",2.0
12596,Accruals and deferred income                                                                           0                   (720),2.0
12597,Total net assets (liabilities)                                                                               100            809,2.0
12598,Capital and reserves                                                                                         100            809,2.0
12599,Â®    For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,1.0
12600,Companies Act 2006 relating to small companies,1.0
12601,Â®     The members have not required the company to obtain an audit in accordance with section 476 of,1.0
12602,the Companies Act 2006.,1.0
12603,Â®    The director acknowledge their responsibilities for complying with the requirements of the,1.0
12604,Companies Act 2006 with respect to accounting                                records and the preparation of accounts.,1.0
12605,Â®     The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,1.0
12606,accordance with the provisions applicable to companies subject to the small companies regime.,1.0
12607,Approved by the Board 3               on      February 2020,1.0
12608,And signed on their behalf by:,1.0
12609,"Mr. Kuldip Singh Uppal, Director",1.0
12610,This document was delivered using electronic communications and authenticated in accordance with the,1.0
12611,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
12612,the Companies Act 2006.,1.0
12613,Balance Sheet as at 31 January 2020,1.0
12614,2020          2019,1.0
12615,Â£             Â£,1.0
12616,Current assets,2.0
12617,Cash at bank and in hand                                                                                 100           100,2.0
12618,Net assets                                                                                                        100           100,2.0
12619,Issued share capital,2.0
12620,100 Ordinary Shares 1 of Â£ each                                                                          100           100,2.0
12621,Total Shareholder funds                                                                                           100           100,2.0
12622,STATEMENTS,1.0
12623,a.   For the year ending 31 January 2020 the company was entities to exemption under section 480 of,1.0
12624,the Companies Act 2006 relating to dormant companies,1.0
12625,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
12626,the Companies Act 2006.,1.0
12627,C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
12628,with respect to accounting                records and the preparation of accounts.,1.0
12629,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
12630,subject to the small companies regime.,1.0
12631,Approved by the Board 3               on      February 2020,1.0
12632,And signed on their behalf by:,1.0
12633,"Laurence Saffer, Director",1.0
12634,This document was delivered using electronic communications and authenticated in accordance with the,1.0
12635,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
12636,the Companies Act 2006.,1.0
12637,Balance Sheet as at 31 March 2019,1.0
12638,2019         2018,2.0
12639,Â£            Â£,1.0
12640,Current assets,2.0
12641,Cash at bank and in hand                                                                                    100         100,2.0
12642,Net assets                                                                                                          100          100,2.0
12643,Issued share capital,2.0
12644,100 ORDINARY Shares 1 of Â£ each                                                                           100          100,2.0
12645,Total Shareholder funds                                                                                             100          100,2.0
12646,STATEMENTS,1.0
12647,a.   For the year ending 31 March 2019 the company was entities to exemption under section 480 of the,1.0
12648,Companies Act 2006 relating to dormant companies,1.0
12649,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
12650,the Companies Act 2006.,1.0
12651,C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
12652,with respect to accounting                 records and the preparation of accounts.,1.0
12653,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
12654,subject to the small companies regime.,1.0
12655,Approved by the Board on 10 April 2019,1.0
12656,And signed on their behalf by:,1.0
12657,"Kieran Linehan, Director",1.0
12658,This document was delivered using electronic communications and authenticated in accordance with the,1.0
12659,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
12660,the Companies Act 2006.,1.0
12661,Balance Sheet as at 30 September 2019,1.0
12662,2019                2018,2.0
12663,Â£                    Â£,1.0
12664,Called up share capital not paid                                                                                      0                   0,2.0
12665,Current assets,2.0
12666,Cash at bank and in hand                                                                                                      100                  100,2.0
12667,Net assets                                                                                                                    100                  100,2.0
12668,Authorised share capital,2.0
12669,0 Ordinary of Â£1 each,2.0
12670,Issued share capital,2.0
12671,100 Ordinary of Â£1 each                                                                                                       100                  100,2.0
12672,Total shareholder funds                                                                                                       100                  100,2.0
12673,NOTES,2.0
12674,"1. During the year the company allotted O ordinary shares with an aggregate nominal value of Â£ 0, the",2.0
12675,consideration received by the company 0 was Â£,1.0
12676,STATEMENTS,1.0
12677,a. For the year ending 30 September 2019 the company was entities to exemption under section 480 of the,1.0
12678,Companies Act 2006.,1.0
12679,b. The members have not required the company to obtain an audit in accordance with section 476 of the,1.0
12680,Companies Act 2006.,1.0
12681,c. The director acknowledge their responsibility for:,1.0
12682,i. ensuring the company keeps accounting                                  records which company with Section 386; and,1.0
12683,ii preparing accounts                 which give a true and fair view of the state of affairs of the company as at the end of,1.0
12684,"the financial year, and of its profit or loss for the financial year, in accordance with the requirements of",1.0
12685,"section 393, and which otherwise company with the requirements of the Companies Act relating to",1.0
12686,"accounts,         so far as is applicable to the company",1.0
12687,d. These accounts                have been prepared in accordance with the provisions applicable to companies subject to,1.0
12688,the small companies regime.,1.0
12689,Approved by the Board on 31 January 2020,1.0
12690,And signed on their behalf by:,1.0
12691,"Mr Gary Alan Chamberlain, Director",1.0
12692,This document was delivered using electronic communications and authenticated in accordance with the,1.0
12693,Balance Sheet as at 31 May 2019,1.0
12694,2019           2018,2.0
12695,Â£              Â£,1.0
12696,Current assets,2.0
12697,Cash at bank and in hand                                                                          1              1,2.0
12698,Net assets                                                                                                  1              1,2.0
12699,Issued share capital,2.0
12700,1 Ordinary Share 1 of Â£ each                                                                                         1,2.0
12701,Total Shareholder funds                                                                        1 1,2.0
12702,STATEMENTS,1.0
12703,a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1.0
12704,Companies Act 2006 relating to dormant companies,1.0
12705,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
12706,the Companies Act 2006.,1.0
12707,C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
12708,with respect to accounting                records and the preparation of accounts.,1.0
12709,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
12710,subject to the small companies regime.,1.0
12711,Approved by the Board 4               on     February 2020,1.0
12712,And signed on their behalf by:,1.0
12713,"Simon Kent, Director",1.0
12714,This document was delivered using electronic communications and authenticated in accordance with the,1.0
12715,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
12716,the Companies Act 2006.,1.0
12717,Balance Sheet as at 31 May 2019,1.0
12718,2019           2018,2.0
12719,Â£              Â£,1.0
12720,Current assets,2.0
12721,Cash at bank and in hand                                                                            1              1,2.0
12722,Net assets                                                                                                  1              1,2.0
12723,Issued share capital,2.0
12724,1 Ordinary Share 1 of Â£ each                                                                                 1              1,2.0
12725,Total Shareholder funds                                                                                     1              1,2.0
12726,STATEMENTS,1.0
12727,a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1.0
12728,Companies Act 2006 relating to dormant companies,1.0
12729,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
12730,the Companies Act 2006.,1.0
12731,C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
12732,with respect to accounting                records and the preparation of accounts.,1.0
12733,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
12734,subject to the small companies regime.,1.0
12735,Approved by the Board 4               on      February 2020,1.0
12736,And signed on their behalf by:,1.0
12737,"Mohamad AJAMI, Director",1.0
12738,This document was delivered using electronic communications and authenticated in accordance with the,1.0
12739,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
12740,the Companies Act 2006.,1.0
12741,Balance Sheet,1.0
12742,as at 31 May 2019,1.0
12743,2019                                               2018,2.0
12744,Â£                                                  Â£,1.0
12745,"Fixed assets                                                                                                  844                                             1,268",2.0
12746,"Current assets                                                                    31,979                                             28,273",2.0
12747,Creditors: amounts falling due within,2.0
12748,"one year                                                                        (20,019)                                          (17,589)",1.0
12749,"Net current assets                                                                                       11,960                                             10,684",2.0
12750,"Total assets less current liabilities                                                                     12,804                                             11,952",2.0
12751,Accruals and deferred income                                                                                 (540)                                             (990),2.0
12752,"Net assets                                                                                               12,264                                             10,962",2.0
12753,"Capital and reserves                                                                                     12,264                                             10,962",2.0
12754,The company is a private company limited by shares and incorporated in England. Its registered office is,1.0
12755,"34 Bassett Crescent West, Southampton, SO16 7DZ.",1.0
