lineitem,relevance
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 30 September 2019,
2019         2018,
Â£            Â£,
Called up share capital not paid                                                                                  100           100,
Net assets                                                                                                        100           100,
Tssued share capital,
25 A Ordinary Shares 1 of Â£ each                                                                          25           25,
25 B Ordinary Shares 1 of Â£ each                                                                          25           25,
50 C Ordinary Shares 1 of Â£ each                                                                          50           50,
Total Shareholder funds                                                                                           100           100,
STATEMENTS,
a.  For the year ending 30 September 2019 the company was entities to exemption under section 480,
of the Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts          have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 4              on      February 2020,
And signed on their behalf by:,
"Kay Bailey, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 28 February 2019,
2019                            2018,
Â£                               Â£,
Net assets                                                                               0                               0,
Reserves                                                                                   0                               0,
STATEMENTS,
a.  For the year ending 28 February 2019 the company was entities to exemption under section 480 of,
the Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
C.  The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board on | February 2020,
And signed on their behalf by:,
"hayley Thomas, Director",
NOTES,
Company is limited by guarantee.,
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Micro-entity Balance Sheet as at 30 November 2019,
Notes             2019          2018,
Â£             Â£,
"Current Assets                                                                                          26,077           9,235",
"Creditors: amounts falling due within one year                                                        (18,548)         (3,620)",
"Net current assets (liabilities)                                                                          7,529          5,615",
"Total assets less current liabilities                                                                     7,529          5,615",
"Total net assets (liabilities)                                                                            7,529          5,615",
"Reserves                                                                                                   7,529          5,615",
Â®     For the year ending 30 November 2019 the company was entities to exemption under section 477,
of the Companies Act 2006 relating to small companies,
The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â®     The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,
The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,
accordance with the provisions applicable to companies subjcct to the small companies regime.,
Approved by the Board 4               on      February 2020,
And signed on their behalf by:,
"Mr C Bovill, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 30 June 2019,
2019           2018,
Â£              Â£,
Called up share capital not paid                                                                            2              2,
Net assets                                                                                                  2              2,
Tssued share capital,
2 Ordinary Shares 1 of Â£ each                                                                               2              2,
Total Shareholder funds                                                                                     2              2,
STATEMENTS,
a.   For the year ending 30 June 2019 the company was entities to exemption under section 480 of the,
Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 4               on      February 2020,
And signed on their behalf by:,
"David Summerfield, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 30 June 2019,
2019            2018,
Â£              Â£,
Called up share capital not paid                                                                            1              1,
Net assets                                                                                                  1              1,
Tssued share capital,
1 Ordinary Share 1 of Â£ each                                                                                1              1,
Total Shareholder funds                                                                                     1              1,
STATEMENTS,
a.   For the year ending 30 June 2019 the company was entities to exemption under section 480 of the,
Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 4               on      February 2020,
And signed on their behalf by:,
"Javinder Khanijau, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 30 November 2019,
2019          2018,
Â£             Â£,
Called up share capital not paid                                                                                   100           100,
Net assets                                                                                                         100           100,
Tssued share capital,
100 Ordinary Shares 1 of Â£ each                                                                          100           100,
Total Shareholder funds                                                                                            100           100,
STATEMENTS,
a.   For the year ending 30 November 2019 the company was entities to exemption under section 480,
of the Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 4               on      February 2020,
And signed on their behalf by:,
"david charlton, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet,
as at 31 January 2020,
2020                                2019,
Â£                                  Â£,
Current assets,
Cash at bank and in hand                                                                                  1                                  1,
1                                  1,
,
,
Capital and reserves,
Called up share capital                                                                                   1                                  1,
Profit and loss account                                                                                    -                                  -,
Shareholders funds                                                                                        1                                  1,
,
,
The director is satisfied that the company is entities to exemption from the requirement to,
obtain       an    audit      under section              480      of the       Companies Act 2006                      relating to          dormant,
companies,
The member has not required the company to obtain an audit in accordance with section,
476 of the Act.,
The director acknowledges his responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                                   records and the preparation of accounts.,
The accounts            have been prepared and delivered in accordance with the special provisions,
applicable to companies subject to the small companies regime. A profit and loss account,
has not been delivered to the Registrar of Companies,
,
,
,
,
Mr M H Oates,
Director,
Approved by the board 4                on       February 2020,
Micro-entity Balance Sheet as at 31 May 2019,
Notes        2019         2018,
Â£            Â£,
"Current Assets                                                                                              6,478        5,445",
"Creditors: amounts falling due within one year                                                            (3,675)      (3,655)",
"Net current assets (liabilities)                                                                            2,803         1,790",
"Total assets less current liabilities                                                                       2,803         1,790",
Creditors: amounts falling due after more than one,
"(2,800)      (1.458)",
year,
Total net assets (liabilities)                                                                           3                  332,
Capital and reserves                                                                                     3                  332,
For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,
Companies Act 2006 relating to small companies,
Â®     The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â®     The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,
The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,
accordance with the provisions applicable to companies subject to the small companies regime.,
Approved by the Board on 15 December 2019,
And signed on their behalf by:,
"A Warr, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 December 2019,
2019            2018,
â‚¬               â‚¬,
Current assets,
Cash at bank and in hand                                                                                100             100,
Net assets                                                                                                       100             100,
Issued share capital,
100 ord Shares of â‚¬ | each                                                                             100             100,
Total Shareholder funds                                                                                          100             100,
STATEMENTS,
a.   For the year ending 31 December 2019 the company was entities to exemption under section 480 of,
the Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                 records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 4               on      February 2020,
And signed on their behalf by:,
"Vedat Yilmaz, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Micro-entity Balance Sheet as at 30 September 2019,
Notes            2019            2018,
Â£               Â£,
"Fixed Assets                                                                                          11,207          15,051",
"Current Assets                                                                                     222,679            61,719",
"Creditors: amounts falling due within one year                                                      (99,640)        (34,382)",
"Net current assets (liabilities)                                                                    123,039           27,337",
"Total assets less current liabilities                                                               134,246           42,388",
"Total net assets (liabilities)                                                                      134,246           42,388",
"Capital and reserves                                                                                134,246           42,383",
Â®    For the year ending 30 September 2019 the company was entities to exemption under section 477,
of the Companies Act 2006 relating to small companies,
Â®     The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â®     The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                              records and the preparation of accounts.,
Â®     The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,
accordance with the provisions applicable to companies subject to the small companies regime.,
Approved by the Board 4              on      February 2020,
And signed on their behalf by:,
"Mrs Alice Salisbury Jones, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 May 2019,
2019          2018,
Â£             Â£,
Called up share capital not paid                                                                                  100           100,
Net assets                                                                                                        100           100,
Tssued share capital,
100 Ordinary Shares 1 of Â£ each                                                                           100          100,
Total Shareholder funds                                                                                           100           100,
STATEMENTS,
a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,
Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 4               on      February 2020,
And signed on their behalf by:,
"Geraldine Suzanne FITZGERALD, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 30 March 2019,
2019          2018,
Â£             Â£,
Called up share capital not paid                                                                                   100           100,
Net assets                                                                                                         100           100,
Tssued share capital,
100 Ordinary Shares 1 of Â£ each                                                                          100           100,
Total Shareholder funds                                                                                            100           100,
STATEMENTS,
a.   For the year ending 30 March 2019 the company was entities to exemption under section 480 of the,
Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board on 27 January 2020,
And signed on their behalf by:,
"Jonathan Hart, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Micro-entity Balance Sheet as at 31 May 2019,
Notes        2019,
Â£,
Called up share capital not paid                                                                                         -,
Fixed Assets                                                                                                             -,
Current Assets                                                                                                           1,
Prepayments and accrued income                                                                                           -,
Creditors: amounts falling due within one year                                                                           0,
Net current assets (liabilities)                                                                                         1,
Total assets less current liabilities                                                                                    1,
Creditors: amounts falling due after more than one year                                                                  0,
Provisions for liabilities                                                                                               0,
Accruals and deferred income                                                                                             0,
Total net assets (liabilities)                                                                                           1,
Capital and reserves                                                                                                     1,
For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,
Companies Act 2006 relating to small companies,
The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â®    The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                                 records and the preparation of accounts.,
The accounts           have been prepared in accordance with the micro-entity provisions and delivered in,
accordance with the provisions applicable to companies subject to the small companies regime.,
Approved by the Board 4                on      February 2020,
And signed on their behalf by:,
"Michael Beverley, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 May 2019,
2019,
Â£,
Current assets,
Cash at bank and in hand                                                                                               100,
Net assets                                                                                                                       100,
Issued share capital,
100 Ordinary Shares 1 of Â£ each                                                                                        100,
Total Shareholder funds                                                                                               100,
STATEMENTS,
a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,
Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 4               on      February 2020,
And signed on their behalf by:,
"Ciro Ercole, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Micro-entity Balance Sheet as at 31 May 2019,
Notes              2019            2018,
Â£               Â£,
"Fixed Assets                                                                                           1,103              254",
"Current Assets                                                                                         3,158            5,612",
"Creditors: amounts falling due within one year                                                     (31,748)         (25,831)",
"Net current assets (liabilities)                                                                   (28,590)         (20,219)",
"Total assets less current liabilities                                                              (27,487)         (19,965)",
"Total net assets (liabilities)                                                                     (27,487)         (19,965)",
"Capital and reserves                                                                               (27,487)         (19,965)",
For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,
Companies Act 2006 relating to small companies,
Â®     The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â®     The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                              records and the preparation of accounts.,
Â®     The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,
accordance with the provisions applicable to companies subject to the small companies regime.,
Approved by the Board on 12 August 2019,
And signed on their behalf by:,
"Ms T Tosic, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 January 2020,
2020           2019,
Â£              Â£,
Current assets,
Cash at bank and in hand                                                                            1              1,
Net assets                                                                                                  1              1,
Issued share capital,
1 Ordinary Share 1 of Â£ each                                                                                 1              1,
Total Shareholder funds                                                                                     1              1,
STATEMENTS,
a.   For the year ending 31 January 2020 the company was entities to exemption under section 480 of,
the Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 4               on      February 2020,
And signed on their behalf by:,
"Andrew Leighton, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
BALANCE SHEET AT 31/05/2019,
2019                                2018,
Â£                                   Â£,
Current assets                                                                                                                     -                                            76,
"Creditors: amounts falling due within one year                                                                                     (26,366)                            (26,109)",
"Net Current Liabilities                                                                                                                              (26,366)                            (26,033)",
"Total assets less current liabilities                                                                                                                  (26,366}                            (26,033)",
Accruals and deferred income                                                                                                                                 325                                 325,
"Net Liabilities                                                                                                                                      (26,691)                            (26,358)",
"Capital and reserves                                                                                                                                 (26,691)                            {26,358)",
Company information,
"registered in         registered number 6769184. Registered office 82 Reddish Road, Reddish, Stockport, Cheshire, SK5 7QU",
,
For the year ending 31/05/2019 the company was entities to exemption under section 477 of the Companies Act 2006 relating,
to small companies,
The members have not required the company to obtain an audit in accordance with section 476 of the Companies Act 2006.,
The director acknowledge their responsibilities for complying with the requirements of the Act with respect to accounting,
records and the preparation of accounts.,
These accounts             have been prepared in accordance with the provisions applicable to companies subject to the micro-entity,
regime.,
These accounts               have been delivered in accordance with the provisions applicable to companies subject to the small,
companies regime.,
Approved by the board on 04/02/2020 and signed on their behalf,
by,
Mrs Y Fielding,
Director,
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 May 2019,
2019            2018,
Â£               Â£,
Called up share capital not paid                                                                              10000           10000,
Net assets                                                                                                    10000           10000,
Tssued share capital,
10000 Ordinary Shares 1 of Â£ each                                                                   10000           10000,
Total Shareholder funds                                                                                       10000           10000,
STATEMENTS,
a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,
Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                 records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 4               on       February 2020,
And signed on their behalf by:,
"Dr Mohammed Sanawar lslam Choudhury, Director",
NOTES,
During the year the company acted as an Parent for a person,
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 December 2019,
2019                            2018,
Â£                                Â£,
Net assets                                                                               0                               0,
Reserves                                                                                  0                               0,
STATEMENTS,
a.  For the year ending 31 December 2019 the company was entities to exemption under section 480 of,
the Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
C.  The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.  These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board on | February 2020,
And signed on their behalf by:,
"A Nicholas, Director",
NOTES,
Company is limited by guarantee.,
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 January 2020,
2020          2019,
Â£             Â£,
Current assets,
Cash at bank and in hand                                                                             1             1,
Net assets                                                                                                    1             1,
Issued share capital,
1 ORDINARY Share of Â£ | each                                                                                  1             1,
Total Shareholder funds                                                                                       1             1,
STATEMENTS,
a.   For the year ending 31 January 2020 the company was entities to exemption under section 480 of,
the Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                 records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board on 31 January 2020,
And signed on their behalf by:,
"Peter Valaitis, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Micro-entity Balance Sheet as at 31 May 2019,
Notes          2019           2018,
Â£              Â£,
Fixed Assets                                                                                                163           325,
"Current Assets                                                                                          2956           3,695",
"Creditors: amounts falling due within one year                                                         (4,143)        (4,780)",
"Net current assets (liabilities)                                                                       (1,187)        (1,085)",
"Total assets less current liabilities                                                                  (1,024)          (760)",
"Total net assets (liabilities)                                                                         (1,024)          (760)",
Capital and reserves                                                                                   (1.024) _        (760),
For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,
Companies Act 2006 relating to small companies,
Â®    The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â®    The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,
Â®    The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,
accordance with the provisions applicable to companies subject to the small companies regime.,
Approved by the Board on 25 October 2019,
And signed on their behalf by:,
"W Nicholl, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 October 2019,
2019,
Â£,
Called up share capital not paid                                                                                           1,
Net assets                                                                                                                 1,
Tssued share capital,
1 Ordinary Share 1 of Â£ each                                                                                               1,
Total Shareholder funds                                                                                                    1,
STATEMENTS,
a.   For the year ending 31 October 2019 the company was entities to exemption under section 480 of,
the Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board on 31 October 2019,
And signed on their behalf by:,
"Loretta Pandolfi, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Micro-entity Balance Sheet as at 31 May 2019,
Notes             2019,
Â£,
"Fixed Assets                                                                                                             1,090",
"Current Assets                                                                                                           9,037",
"Creditors: amounts falling due within one year                                                                         (8,000)",
"Net current assets (liabilities)                                                                                         1,037",
"Total assets less current liabilities                                                                                    2,127",
"Accruals and deferred income                                                                                           (1,100)",
"Total net assets (liabilities)                                                                                           1,027",
"Capital and reserves                                                                                                     1,027",
Â®     For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,
Companies Act 2006 relating to small companies,
Â®     The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â®     The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,
Â®     The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,
accordance with the provisions applicable to companies subject to the small companies regime.,
Approved by the Board 4               on      February 2020,
And signed on their behalf by:,
"Rabeya Miah, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 January 2020,
2020          2019,
Â£             Â£,
Current assets,
Cash at bank and in hand                                                                             1             1,
Net assets                                                                                                    1             1,
Issued share capital,
1 ORDINARY Share of Â£ | each                                                                                  1             1,
Total Shareholder funds                                                                                       1             1,
STATEMENTS,
a.   For the year ending 31 January 2020 the company was entities to exemption under section 480 of,
the Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                 records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board on 31 January 2020,
And signed on their behalf by:,
"Peter Valaitis, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 January 2020,
2020                2019,
Â£                    Â£,
Called up share capital not paid                                                                                      0                   0,
Current assets,
Cash at bank and in hand                                                                                                      100                  100,
Net assets                                                                                                                    100                  100,
Authorised share capital,
0 Ordinary of Â£1 each,
Issued share capital,
100 Ordinary of Â£1 each                                                                                                       100                  100,
Total shareholder funds                                                                                                       100                  100,
NOTES,
"1. During the year the company allotted O ordinary shares with an aggregate nominal value of Â£ 0, the",
consideration received by the company 0 was Â£,
STATEMENTS,
a. For the year ending 31 January 2020 the company was entities to exemption under section 480 of the,
Companies Act 2006.,
b. The members have not required the company to obtain an audit in accordance with section 476 of the,
Companies Act 2006.,
c. The director acknowledge their responsibility for:,
i. ensuring the company keeps accounting                                  records which company with Section 386; and,
ii preparing accounts                 which give a true and fair view of the state of affairs of the company as at the end of,
"the financial year, and of its profit or loss for the financial year, in accordance with the requirements of",
